Production_Month,Region,Facility_Type,Operator,Oil_Volume_m3,Gas_Volume_e3m3,Water_Volume_m3,Active_Well_Count,Uptime_Hours
2020-01-01,Peace River,Battery,Ridgeline Oil Corp,4470.4,6226.6,7331.5,205,678.7
2020-01-01,Peace River,Gas Plant,Ridgeline Oil Corp,1321.2,21733.0,3544.4,63,667.3
2020-01-01,Peace River,Oil Sands Facility,Ridgeline Oil Corp,10119.4,1678.0,16673.5,476,702.4
2020-01-01,Peace River,Pipeline Terminal,Ridgeline Oil Corp,2558.8,10137.9,4908.1,133,705.8
2020-01-01,Peace River,Compressor Station,Ridgeline Oil Corp,1755.5,15649.0,4463.9,90,660.5
2020-01-01,Athabasca,Battery,Northland Energy Corp,10342.6,2286.3,28101.1,366,673.1
2020-01-01,Athabasca,Gas Plant,Northland Energy Corp,3077.9,8035.0,6582.2,104,668.1
2020-01-01,Athabasca,Oil Sands Facility,Northland Energy Corp,24267.8,638.6,62270.2,894,721.3
2020-01-01,Athabasca,Pipeline Terminal,Northland Energy Corp,6230.2,3917.4,19668.6,229,706.4
2020-01-01,Athabasca,Compressor Station,Northland Energy Corp,4323.1,6116.0,11195.2,160,708.5
2020-01-01,Cold Lake,Battery,Prairie Basin Resources,7732.1,1771.9,12938.3,286,684.3
2020-01-01,Cold Lake,Gas Plant,Prairie Basin Resources,2063.4,5584.3,4070.0,82,683.3
2020-01-01,Cold Lake,Oil Sands Facility,Prairie Basin Resources,17872.4,487.6,39028.5,677,677.6
2020-01-01,Cold Lake,Pipeline Terminal,Prairie Basin Resources,4544.7,2962.5,14082.4,186,711.2
2020-01-01,Cold Lake,Compressor Station,Prairie Basin Resources,2987.8,4382.1,8266.1,118,691.9
2020-01-01,Central Alberta,Battery,Ridgeline Oil Corp,3123.5,11294.9,8196.1,162,717.5
2020-01-01,Central Alberta,Gas Plant,Ridgeline Oil Corp,893.5,38157.1,2539.0,45,662.7
2020-01-01,Central Alberta,Oil Sands Facility,Ridgeline Oil Corp,6644.6,2860.4,13477.8,367,739.2
2020-01-01,Central Alberta,Pipeline Terminal,Ridgeline Oil Corp,1923.3,19782.2,4045.6,102,693.2
2020-01-01,Central Alberta,Compressor Station,Ridgeline Oil Corp,1288.7,29823.9,3008.0,65,680.7
2020-01-01,Southern Alberta,Battery,Prairie Basin Resources,1263.6,12635.6,2553.0,102,735.4
2020-01-01,Southern Alberta,Gas Plant,Prairie Basin Resources,360.3,42544.3,702.9,31,702.8
2020-01-01,Southern Alberta,Oil Sands Facility,Prairie Basin Resources,2755.8,3280.7,4617.0,228,712.7
2020-01-01,Southern Alberta,Pipeline Terminal,Prairie Basin Resources,815.0,23182.7,1854.5,60,692.1
2020-01-01,Southern Alberta,Compressor Station,Prairie Basin Resources,558.3,35728.4,1365.9,44,732.3
2020-02-01,Peace River,Battery,Pemberton Resources Inc,4162.1,5797.2,11458.9,212,705.1
2020-02-01,Peace River,Gas Plant,Pemberton Resources Inc,1260.5,20734.4,3309.5,58,696.5
2020-02-01,Peace River,Oil Sands Facility,Pemberton Resources Inc,10357.0,1717.4,32377.1,506,682.1
2020-02-01,Peace River,Pipeline Terminal,Pemberton Resources Inc,2792.5,11063.7,5266.2,136,733.1
2020-02-01,Peace River,Compressor Station,Pemberton Resources Inc,1809.0,16125.9,4743.8,88,672.8
2020-02-01,Athabasca,Battery,Suncrest Oil Inc,10497.8,2320.6,25856.1,381,704.5
2020-02-01,Athabasca,Gas Plant,Suncrest Oil Inc,2746.8,7170.7,5819.5,103,738.0
